Subject,Predicate,Input signal,Model architecture,Training data,Target population,Unspecified Improvements,Outcome variable
K213409,K202527,1,,,,,
K220813,K202700,1,,,,1,1
K221393,K212456,1,,,,,
K213717,K193282,1,,,,,1
K213886,K203508,1,,,,,
K211541,K192854,1,,,,,
K210085,K172983,1,,,,,1
K211655,K191262,1,,,,,1
K211279,K182310,1,,,,,
K210404,K193229,1,,,,1,
K203258,K193216,1,1,,,,1
K210209,K193658,1,,,,,
K201745,K183202,1,,,,,
K203042,K192832,,,,,,
K200569,K190387,1,,,,,
K201020,K190072,1,,,,,1
K193229,K181704,1,,,,1,
K192973,K170540,1,,,,,1
K192287,K181704,1,,,,1,
K191994,K182373,1,,,,,
K173939,K163013,1,1,,,,
K163623,K142037,1,,,,1,
K163013,K153351,1,,,,,1
K183593,K163622,,,,,,
K220961,K183202,,,,,,
K220439,K210209,,,,,,1
K220940,K200852,,,,,1,1
K221147,K200851,,,,,1,
K221148,K200708,,,,,1,
K221727,K214019,,1,,,1,
K220975,K211945,,,,,,1
K213037,K203629,,,,,1,
K213504,K203225,,,,,,1
K213971,K212516,,,,1,,
K221314,K203508,,,,,,1
K220766,K181988,,,,,,
K220416,K210999,,1,,,,
K221219,K201034,,,1,,,1
K221240,K203508,,,1,,,
K221106,K202501,,,,,,1
K220013,K201301,,,,,,
K220590,K211655,,1,,,,
K220939,K203443,,,,,,1
K213706,K193290,,,,,,1
K214081,K193109,,,,,,1
K203744,K192437,,,,,,
K213693,K203443,,,,,,1
K213999,K183202,,1,,,,
K213938,K203169,,,,,,
K213976,K210632,,,,,,1
K210747,K200621,,1,1,,,
K213737,K182564,,,,,,
K213307,K202441,,,,,,
K212005,K180091,,,,,1,1
K213275,K191171,,,,,,1
K212616,K190442,,,,,,1
K213628,K203235,,,,,,1
K213096,K183271,,,1,,,1
K213436,K192107,,,,,,
K210632,K193252,,,,,1,1
K211964,K182336,,,,,,
K212067,K193170,,,,,,
K211828,K203042,,,,,,1
K212100,K193518,,,,,,1
K211379,K201444,,1,,,,1
K212074,K183460,,,,,,
K211951,DEN200055,,,,,1,
K210645,K200569,,,,,,
K210034,K162627,,,,1,,1
K201034,K192763,,,,,,1
K210071,K192304,,,,,,1
K203225,K192828,,,,,1,1
K210053,K200232,,,,,1,
K203280,K202170,,,,,,
K203329,K190925,,,,,,1
K203508,K190896,,,,,,
K202280,K190868,,,,,,1
K202170,K190017,,1,,,,
K201444,K192065,,1,,,1,1
K201310,K182177,,1,,,1,1
K193417,DEN180005,,,,,,1
K200743,K181685,,,,,1,1
K193294,K183272,,,,,,1
K192437,K182034,,,,,,1
K193281,K133649,,1,,,,1
K193170,K183202,,,,,,
K192130,K181939,,,,,,1
K192442,K182149,,,,,,
K192304,K183019,,,,,1,
K183370,K172959,,,,,,
K192107,K180799,,,,,,
K190925,K182035,,,,,,1
K183019,K162830,,,,,,1
K182564,K173939,,1,,,1,
K182035,K161772,,,,,,
K180799,K172385,,,,,,1
K180126,K172122,,,,,,
K180091,K170172,,,,,,
K171315,K033840,,1,,,,1
K161772,K152733,,,,,,
K102778,K080595,,,,,,
K080595,K033840,,,,,,1
K033840,K003301,,,,,,1
K213805,K203443,,,,,,1
K213857,K203329,,,,,,1
K223516,K201298,,,,,,
K221305,K193562,,,,,1,1
K221449,K201019,1,1,1,,,
K221612,K161201,,,,,,1
K221677,K203103,,,,,,1
K221680,K201103,,,,,,1
K221716,K200855,,,,,,1
K221762,K202404,,,,,,1
K222070,K212383,,,,,,
K222176,K212365,,,,1,,
K222179,K213941,,,,,,
K222268,K213941,,,,,,
K222312,K220141,,,,,,
K222360,K183268,,,,,1,
K222361,K193267,,,,,,
K222389,K202527,,,,,,
K222458,K211443,1,,,,,
K222593,K202212,,1,,,,1
K222746,K212519,1,,,1,,
K222803,K202284,,,,,,1
K222819,K201836,1,,,,,
K222941,K192377,,,,,1,
K222970,K210053,,,,,,
K223017,K212333,,,,,,
K223028,K203448,,,,,,
K223032,K210071,,,,,,
K223042,DEN170073,,,,,,
K223268,K220815,1,,,1,,
K223311,K212441,,,,,,
K223336,K213504,,,,,,1
K223387,K220975,,,,,,1
K223407,K220446,,,,,,
K223442,K213583,,,,,,1
K223458,K213583,,,,,,1
K223738,K191083,,,,,,
K223774,K213976,,,,,1,1
K230020,K202992,,,1,,,
K230023,K220813,,,,,,1
K230530,K180126,,,,,,
K230531,K190529,,,,,,
K230575,K201232,,,,,,1
K230772,K221106,,,1,,,
K230807,K213999,,,,,,
K231143,K211951,,,,,,